Apple Cider Vinegar,2 years
Apples,1 month
Applesauce,1 year
Apricots,6 months
Artificial Vanilla extract,3 years
Asparagus,3 days
Bacon,1 month
Bacon,2 weeks
Baked bread,3 months
Baking powder,18 months
Baking soda,2 years
Balsamic Vinegar,3 years
Barbeque sauce,1 year
Barbeque sauce,5 months
Basil,1 year
Bay leaves,1 year
Beans canned,2 years
Beans dried,1 year
Beans dried ,18 months
Beets,2 weeks
Berries ,3 days
Biscuit mix,12 months
Black pepper,2 years
Bread crumbs,2 months
Broccoli,5 days
Broth beef,2 years
Broth chicken,2 years
Broth vegetable,2 years
Brussel sprouts ,5 days
Butter,9 months
Butter,2 months
Buttermilk,2 weeks
Cabbage,1 week
Cake brownie,1 year
Cakes,2 days
Cakes pastries,3 months
Canned fruit,1 year
Canned fruit,1 year
Canned meats,1 year
Canned vegetables,1 year
Carrots,2 weeks
Casseroles,3 months
Casseroles,3 days
Cauliflower,1 week
Celery,1 week
Cereal,3 months
Cereals hot,1 year
Cheese,3 months
Cherries,3 days
Chicken,6 months
Chili powder,2 years
Chocolate baking,6 months
Chocolate chips milk chocolate,16 months
Chocolate chips semi-sweet,2 years
Chocolate chips semi-sweet,1 year
Chocolate unsweetend,18 months
Cinnamon ground,2 years
Cinnamon sticks,3 years
Citrus fruit,3 weeks
Cloves ground,2 years
Cocoa,1 year
Cocoa powder,2 years
Coconut grated,1 year
Cod,6 months
Coffee beans,1 week
Coffee freshly ground,1 week
Coffee ground,3 months
Cooked meats,3 days
Cookie mixes,1 year
Cookie or bread dough,1 month
Cookies,3 months
Cookies packaged,2 months
Cookies packaged,2 months
Coriander ground,2 years
Coriander seed,3 years
Corn,3 days
Cornmeal,6 months
Cornmeal,1 year
Cornstarch,18 months
Cornstarch,18 months
Cottage cheese,1 week
Crab,10 months
Crackers,8 months
Crackers,6 months
Cream cheese,2 weeks
Cream of tartar,2 years
Croutons,6 months
Cucumber,1 week
Cumin,2 years
Dill,1 year
Doughnuts,3 months
Dried fruit,6 months
Dried Herbs,1 year
Dry mustard,2 years
Eggplant,1 week
Flounder,6 months
Flour all-purpose,6 months
Flour cake,6 months
Flour self-rising,6 months
Flour wheat,6 months
Flour white,10 months
Flour whole wheat,6 months
Frosting canned,8 months
Fruit dried,6 months
Garlic powder,2 years
Gelatin,12 months
Ginger ground,2 years
Gravies,1 year
Green beans,1 week
Green onions,5 days
Grits instant,8 months
Grits regular,10 months
Ground beef,4 months
Ground Coffee,2 weeks
Ground meats,2 days
Ground pork,4 months
Ground Spices,1 year
Ham,2 months
Ham slices,3 days
Hard cheese,6 months
Home-canned foods,12 months
Honey,Indefinitely
Honey molasses syrup,1 year
Hot chocolate mixes,6 months
Hot sauce,5 years
Ice cream,2 months
Infant formula,12 months
Jam,2 years
Jams,8 months
Jelly,2 years
Jelly jam,20 months
Jerky commercial packaged,12 months
Jerky homemade,1 month
Juice bottled or canned,12 months
Juice boxes,4 months
Juice canned citrus,6 months
Juice canned non-citrus,1 year
Ketchup,1 year
Ketchup,5 months
Lamb,9 months
Lentils,1 year
Lettuce,5 days
Lima Beans,3 days
Lobster,1 year
Loose Tea,6 months
Luncheon meats,5 days
Mackerel,3 months
Malt Vinegar,2 years
Maple syrup artificial,1 year
Maple syrup real,1 year
Marjoram,1 year
Marshmallows,3 months
Mayonnaise,3 months
Mayonnaise,4 months
Mayonnaise,2 months
Milk,1 month
Milk,1 week
Milk cream,1 week
Milk evaporated,1 year
Milk non-fat powdered,1 year
Milk powdered,1 year
Milk sweetened condensed,1 year
Minced Garlic,2 years
Molasses,2 years
Muffins,3 months
Mustard,1 year
Mustard,1 year
Nutmeg,2 years
Nuts,6 months
Nuts shelled,3 months
Nuts unshelled,6 months
Oatmeal,1 year
Oil canola,2 years
Oil olive,2 years
Oil vegetable spray,2 years
Olives,3 months
Onion powder,2 years
Onions,4 weeks
Opened Juices,6 days
Opened Shredded cheese,1 week
Oregano,1 year
Original Vanilla extract,Indefinitely
Pancake mix,6 months
Pancakes,3 months
Parsley,1 year
Pasta  dried,2 years
Peanut butter,6 months
Peas dried,18 months
Peppers,1 week
Pickles,1 year
Pickles ,3 months
Pies,2 days
Pineapple,4 days
Pizza,3 days
Popcorn microwaveable,6 months
Popcorn unpopped kernals,1 year
Pork chops,4 months
Pork roast or loin,8 months
Potatoes instant,1 year
Potatoes white or sweet,3 weeks
Poultry,2 days
PretzelsChips,2 months
Pudding mixes,8 months
Pumpkin puree,12 months
Quick breads,3 months
Radishes,2 weeks
Raisins,6 months
Raw Eggs,1 year
Red Wine Vinegar,2 years
Relishes,3 months
Rice basmati,2 years
Rice brown,6 months
Rice brown,1 year
Rice jasmine,2 years
Rice mixes,6 months
Rice paste,3 months
Rice Vinegar,2 years
Rice white,2 years
Rice wild,6 months
Ricotta cheese,1 week
Rosemary,1 year
Sage,1 year
Salad dressing,12 months
Salad dressings,3 months
Salsa,12 months
Salt,Indefinitely
Sauces condiments,1 year
Sausage,1 month
Sausage,2 days
Savory,1 year
Scallops,1 year
Seafood,1 day
Shelled Egg,1 month
Shortening,6 months
Shrimp ,1 year
Soft drinks,6 months
Soup,2 years
Soups,3 days
Soups ,2 months
Soy sauce,3 years
Spinach,5 days
Sports drinks bottled,9 months
Steak,3 days
Stew meats,2 days
Stews,2 months
Stews,3 days
Stuffing mix,6 months
Stuffings,3 days
Sugar brown,Indefinitely
Sugar brown,4 months
Sugar granulated,Indefinitely
Sugar granulated,2 years
Sugar powdered,Indefinitely
Sugar powdered,18 months
Tea in bags,1 year
Tea instant,1 year
Tea loose,12 months
Thyme,1 year
Tomato,1 week
Tomato sauce,12 months
Tomato Soup,12 months
Tomatoes crushed,12 months
Tomatoes stewed,12 months
Tomatoes sun-dried,12 months
Tomatoes whole,12 months
Trout,3 months
Turkey,6 months
Turnips,2 weeks
Vegetable Oil,6 months
Vegetables,8 months
Waffles,3 months
Water bottled,1 year
White Vinegar,Indefinitely
White Wine Vinegar,2 years
Whole Garlic,3 months
Whole Ham,1 week
Whole Spices,2 years
Wine for cooking,3 months
Wine for drinking,3 days
Worcestershire sauce,1 year
